omega,Re_I,Im_I,Re_FL,Im_FL,Re_FR,Im_FR,Re_G,Im_G
-4.0,-0.30033429580284493,-0.004966550471928945,0.07640957653378942,0.001267824845008859,0.07640957653378942,0.001267824845008859,-0.27382561727298094,-0.00034375571520776747
-3.99,-0.3013523663362461,-0.004664561463121403,0.07686915307063229,0.0011933889990543354,0.07686915307063229,0.0011933889990543354,-0.2746529035258308,-0.00032517505032467225
-3.98,-0.3026112458883569,-0.0043821444637150595,0.07739296099475261,0.0011243385413875215,0.07739296099475261,0.0011243385413875215,-0.2755015817264535,-0.00030715843440393603
-3.97,-0.30406993152479744,-0.00424324655220754,0.07797052447612049,0.00109247438369928,0.07797052447612049,0.00109247438369928,-0.2763692912745462,-0.0002981853815633623
-3.96,-0.3056257352543055,-0.004332408053746935,0.07857548649632871,0.0011195560746401943,0.07857548649632871,0.0011195560746401943,-0.27724938630615614,-0.0003042435171886896
-3.95,-0.30714410354697713,-0.004666678851331168,0.07917319858482906,0.0012100116530378772,0.07917319858482906,0.0012100116530378772,-0.27813287436445516,-0.00032682168709463404
-3.94,-0.30849960898580525,-0.005187403382251867,0.07973126277440608,0.0013487115141950412,0.07973126277440608,0.0013487115141950412,-0.2790111962988882,-0.0003622230410412785
-3.93,-0.30961603877622595,-0.005775330930142817,0.0802299366614411,0.001504764814485769,0.0802299366614411,0.001504764814485769,-0.27987902576450757,-0.00040249116233676317
-3.92,-0.3104930291425104,-0.0062856970503847535,0.08066913760535781,0.001640542707106658,0.08066913760535781,0.001640542707106658,-0.28073619910389935,-0.00043776486460808797
-3.91,-0.31120988710545,-0.006593416924103226,0.08106956283910981,0.0017234218372994478,0.08106956283910981,0.0017234218372994478,-0.2815880853462852,-0.00045940328227783445
-3.9,-0.311903836751844,-0.006634381163533443,0.08146713146570272,0.0017366162384378216,0.08146713146570272,0.0017366162384378216,-0.28244415899853864,-0.0004629057903253434
-3.89,-0.3127282783216816,-0.006428996514352398,0.08190213476836294,0.001685452763460704,0.08190213476836294,0.001685452763460704,-0.2833151296118149,-0.00044963674164109717
-3.88,-0.3138038400523072,-0.006079220604022566,0.0824063915713764,0.00159673663342872,0.0824063915713764,0.00159673663342872,-0.28420950404650075,-0.00042670542041493305
-3.87,-0.31517808732632685,-0.005738926508515339,0.08299256340242166,0.001511081787583076,0.08299256340242166,0.001511081787583076,-0.2851306982097238,-0.0004049481542001192
