U,NRG_metal,NRG_insulator,L2_p2_lin,L1_p2_log,L1_p2_eq_wgt
0.0,0.25,NaN,0.25,NaN,NaN
0.2,0.2333,NaN,0.2333168808024531,NaN,NaN
0.4,0.2167,NaN,0.21665069643740462,NaN,NaN
0.6,0.2,NaN,0.20000753034513735,NaN,NaN
0.8,0.1834,NaN,0.18339858765967557,NaN,NaN
1.0,0.1668,NaN,0.1668391812654897,NaN,NaN
1.2,0.1503,NaN,0.15035093777640046,NaN,NaN
1.4,0.1339,NaN,0.13395945434314932,NaN,NaN
1.6,0.1177,NaN,0.11768583941780433,NaN,NaN
1.8,0.1016,NaN,0.10157837756813377,NaN,NaN
2.0,0.0857,NaN,0.08568800614355822,NaN,NaN
2.1,NaN,NaN,0.07783912158171731,0.07807337550920822,0.07815858155632083
2.2,0.07,NaN,0.07007793644839086,0.07032450778191367,0.07065335046629792
2.3,NaN,NaN,0.06244232363003177,0.06267607807176254,0.0629650757821932
2.4,0.0547,0.027,0.05492547177958157,0.05514848066296732,0.055692035488112863
2.5,NaN,NaN,0.047527877946764066,0.04777719420530049,0.048223845816741336
2.6,0.0398,0.0217,0.04041197403544941,0.04061484062674828,0.041446302837255096
2.7,NaN,NaN,0.033652097681508474,0.03375335567430372,0.034865314698619
2.8,0.0255,0.0181,0.02740234947244878,0.027360381672141443,0.02898627935400448
2.9,NaN,NaN,0.022623384684377995,0.02177323356044182,0.024105478039155383
3.0,NaN,0.0154,0.018934829681570554,0.017388846203394405,0.02066244112680535
3.1,NaN,NaN,0.016175534506876175,0.014707305085983119,0.017469561107215495
3.2,NaN,0.0133,0.014039805578140207,0.013415559890598717,0.016078799900079727
3.3,NaN,NaN,0.012542864240549291,0.012483570365615723,0.012867772482642273
3.4,NaN,0.0117,0.011677188653394838,0.011685479629154479,0.011677014640029978
