restart,L1_p1,L1_p2,L2_p1,L2_p2
5,0.00039812885920827157,0.00046355324324695633,0.00046355324324694647,0.000463553243246929
10,2.088359473556365e-5,4.968673133238979e-5,5.775012428251164e-5,6.458788350326179e-5
15,1.8233886514942429e-6,9.005462981434909e-6,1.0146999338194725e-5,1.8120012792949452e-5
20,2.3171338075033824e-7,2.9206338847783353e-6,3.355822975650719e-6,6.232599156653546e-6
25,3.645212581402834e-8,1.0158055435078407e-6,8.216068256549833e-7,2.5599359671233686e-6
30,5.779181062848071e-9,5.110148330167389e-7,3.392900891688161e-7,1.169099726744603e-6
35,9.982789450354204e-10,2.2932966323932926e-7,9.748792329014684e-8,5.856106518032636e-7
40,1.6623594371322398e-10,1.35313124571238e-7,4.6096669729289534e-8,3.4095872510339936e-7
45,2.9664999823999445e-11,6.731103537067412e-8,1.405434133393201e-8,2.022017699938774e-7
50,5.055177917009959e-12,4.2297890833439714e-8,6.969068955251347e-9,1.300998238385611e-7
55,9.166142945516944e-13,2.1929878480931496e-8,2.195823639407353e-9,8.350355961352018e-8
60,1.581951358572984e-13,1.4830895165901364e-8,1.1191241440354184e-9,5.646854254013056e-8
65,2.8929655471908826e-14,8.258204776359318e-9,3.5954418121549036e-10,3.769961094408172e-8
70,5.0296648868104205e-15,5.781586924283264e-9,1.862706367736921e-10,2.6189968867795235e-8
75,9.241719386077012e-16,3.294627721984402e-9,6.055882013124271e-11,1.7905805168668006e-8
80,1.6137524410019566e-16,2.3502503175536803e-9,3.169075598190844e-11,1.2672523941001362e-8
85,NaN,1.3589413204879323e-9,1.0381570209342072e-11,8.806295668721113e-9
90,NaN,9.809441766799406e-10,5.467555978127051e-12,6.313358442532808e-9
95,NaN,5.724971294152471e-10,1.8002001593544143e-12,4.434343041309949e-9
100,NaN,4.1637250483394295e-10,9.521069676305229e-13,3.202352435297342e-9
105,NaN,2.4445999932150216e-10,3.145779373898571e-13,2.262651185559657e-9
110,NaN,1.7864908059280096e-10,1.6686062968505266e-13,1.6408038816606444e-9
115,NaN,1.0529334354753e-10,5.526815323427725e-14,1.169846868471795e-9
120,NaN,7.718394589785237e-11,2.937650581309824e-14,8.570109977479853e-10
125,NaN,4.560477107952834e-11,9.747976980238765e-15,6.176955092938263e-10
130,NaN,3.349575259037981e-11,5.189266027210685e-15,4.5555397968611866e-10
135,NaN,1.9823315144543663e-11,1.7243429333439743e-15,3.2982964275204813e-10
140,NaN,1.457814577786342e-11,9.190238376496303e-16,2.440131680866486e-10
145,NaN,8.636693453137933e-12,3.0571661085505135e-16,1.7708111309240744e-10
150,NaN,6.356581819582837e-12,1.6309057838987873e-16,1.3126820946095903e-10
155,NaN,3.7685117433700786e-12,NaN,9.540891694572658e-11
160,NaN,2.7750475587289755e-12,NaN,7.082570197176408e-11
165,NaN,1.6459471615465884e-12,NaN,5.1534153921538806e-11
170,NaN,1.2124405020507638e-12,NaN,3.82952514471278e-11
175,NaN,7.193483774505997e-13,NaN,2.788628255932167e-11
180,NaN,5.300006072422012e-13,NaN,2.0738118911958493e-11
185,NaN,3.1451824748325084e-13,NaN,1.510993230169431e-11
190,NaN,2.317622112806953e-13,NaN,1.124305890482578e-11
195,NaN,1.3755453833344025e-13,NaN,8.19518041417243e-12
200,NaN,1.0137021886968064e-13,NaN,6.100447832606537e-12
205,NaN,6.017100717076799e-14,NaN,4.448046725501118e-12
210,NaN,4.4345344212152125e-14,NaN,3.3121411517034794e-12
215,NaN,2.632434086101023e-14,NaN,2.4155520149547886e-12
220,NaN,1.940148706577486e-14,NaN,1.7991175257747571e-12
225,NaN,1.15177874508067e-14,NaN,1.3123298189952692e-12
230,NaN,8.48902679454754e-15,NaN,9.776107553293921e-13
235,NaN,5.039774777020254e-15,NaN,7.131947151269359e-13
240,NaN,3.714564099116533e-15,NaN,5.313656566826852e-13
245,NaN,2.2053452218181535e-15,NaN,3.87687591809838e-13
250,NaN,1.6254701104270277e-15,NaN,2.8887955835095134e-13
255,NaN,9.650741450295677e-16,NaN,2.1078636156562457e-13
260,NaN,7.113238780464975e-16,NaN,1.5707875040717946e-13
265,NaN,4.22338014870612e-16,NaN,1.146235434239413e-13
270,NaN,3.112936927040534e-16,NaN,8.542434553923074e-14
275,NaN,1.8483019609729872e-16,NaN,6.233958253659362e-14
280,NaN,NaN,NaN,4.646214403004088e-14
285,NaN,NaN,NaN,3.3908117598850575e-14
290,NaN,NaN,NaN,2.52733297804978e-14
295,NaN,NaN,NaN,1.8445326268098637e-14
300,NaN,NaN,NaN,1.3748818875110835e-14
305,NaN,NaN,NaN,1.003475048382083e-14
310,NaN,NaN,NaN,7.480031244784029e-15
315,NaN,NaN,NaN,5.459592561180078e-15
320,NaN,NaN,NaN,4.069798220325223e-15
325,NaN,NaN,NaN,2.9705987157840986e-15
330,NaN,NaN,NaN,2.2144753484792853e-15
335,NaN,NaN,NaN,1.616423442274449e-15
340,NaN,NaN,NaN,1.2050218533476384e-15
345,NaN,NaN,NaN,8.796126146436173e-16
350,NaN,NaN,NaN,6.557571979550023e-16
355,NaN,NaN,NaN,4.786863545534282e-16
360,NaN,NaN,NaN,3.568728962262512e-16
365,NaN,NaN,NaN,2.605147401170281e-16
370,NaN,NaN,NaN,1.9422490638986238e-16
