U,NRG,L2_p2_lin,L1_p2_log,L1_p2_eq_wgt
0.0,1.0,1.0,NaN,NaN
0.2,0.9867,0.9922390066104227,NaN,NaN
0.4,0.9481,0.9595953804962242,NaN,NaN
0.6,0.8875,0.9017582006793969,NaN,NaN
0.8,0.8096,0.8229690762029553,NaN,NaN
1.0,0.7203,0.7392621404622386,NaN,NaN
1.2,0.6248,0.6473261035538008,NaN,NaN
1.4,0.5279,0.5535668959727296,NaN,NaN
1.6,0.4335,0.4614327055859687,NaN,NaN
1.8,0.3445,0.3734111441690683,NaN,NaN
2.0,0.263,0.2919537319441048,NaN,NaN
2.1,NaN,0.253802429575339,0.26166969450783606,0.2625858237138593
2.2,0.1897,0.21695099163230847,0.2250046380181627,0.23286641791944945
2.3,NaN,0.18266347790555426,0.18837923942603868,0.19326269322405806
2.4,0.1256,0.15016832767830826,0.1583768907542058,0.15952519437031737
2.5,NaN,0.11966932349452253,0.12301198048081918,0.12675758891697816
2.6,0.0707,0.094068651406127,0.09527306776113836,0.0999673656732927
2.7,NaN,0.06684582995206932,0.06777553242656921,0.07612585037966588
2.8,0.0252,0.04431919077879991,0.044449637701911786,0.05456724274130834
2.9,NaN,0.02884624287829239,0.024723620828130892,0.03716392207047826
3.0,NaN,0.01797022822693868,0.010860402534675918,0.026544817478646385
3.1,NaN,0.009634277393843692,0.0021658961180015435,0.0167444756030512
3.2,NaN,0.0036687828349635694,0.0003650550836077638,0.014672001674831164
3.3,NaN,0.000408423968635793,NaN,0.0021598292943015465
3.4,NaN,NaN,NaN,2.4617467799046802e-5
